Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Upto INR 3000 off on Orissa RTC Booking,Get 20% off on OSRTC,OSRTC,https://static.abhibus.com/offerbanners/Dec2025/17/1765976652-OSRTC-1250x324.webp,https://www.abhibus.com/bus-offers/osrtc-bus-booking-offers,,,,,YES
Get upto 50% off on RSRTC,Get upto 50% off on RSRTC,RSRTC,https://static.abhibus.com/offerbanners/Jun2024/04/1717450669-rsrtc-bus-booking-offer.webp,https://www.abhibus.com/bus-offers/rsrtc-bus-booking-offers,,,,,YES
Get upto INR 500 off on HRTC,Get upto INR 500 off on HRTC,HRTC,https://static.abhibus.com/offerbanners/Jun2024/04/1717450249-hrtc-bus-booking-offer.webp,https://www.abhibus.com/bus-offers/hrtc-bus-booking-offers,,,,,YES
Get upto INR 500 off on UPSRTC,Get upto INR 500 off on UPSRTC,UPSRTC,https://static.abhibus.com/offerbanners/Jun2024/04/1717451070-upsrtc-bus-booking-offer.webp,https://www.abhibus.com/bus-offers/upsrtc-bus-booking-offers,,,,,YES
Get 20% off on OSRTC,Get 20% off on OSRTC,OSRTC,https://static.abhibus.com/offerbanners/Dec2025/17/1765976652-OSRTC-1250x324.webp,https://www.abhibus.com/bus-offers/osrtc-bus-booking-offers,,,,,YES
Get 10% off on Gujarat RTC Booking,Get 10% off on Gujarat RTC Booking,GSRTC,https://static.abhibus.com/offerbanners/Nov2025/04/1762256474-GSRTC-1250x324.webp,https://www.abhibus.com/bus-offers/gsrtc-bus-booking-offers,,,,,YES
Upto INR 300 off on Telengana RTC Booking,Upto INR 300 off on Telengana RTC Booking,TGSRTC,https://static.abhibus.com/offerbanners/Oct2024/07/1728295510-1250x324.webp,https://www.abhibus.com/bus-offers/tgsrtc-bus-booking-offers,,,,,YES
Upto INR 300 off on Uttarakhand RTC Booking,Upto INR 300 off on Uttarakhand RTC Booking,UTC 300,https://static.abhibus.com/offerbanners/Jul2025/25/1753439530-UTC720x360.webp,https://www.abhibus.com/bus-offers/utc-bus-booking-offers,,,,,YES
Upto INR 300 off on Kerala RTC Booking,Upto INR 300 off on Kerala RTC Booking,KSRTC,https://static.abhibus.com/offerbanners/Jul2025/02/1751449775-KSRTC1250x324%20(1).webp,https://www.abhibus.com/bus-offers/ksrtc-bus-booking-offers,,,,,YES
Get flat INR 50 off with BHIM App,Get flat INR 50 off with BHIM App,,https://static.abhibus.com/offerbanners/Oct2025/17/1760705035-BHIM-UPI-1250x326.webp,https://www.abhibus.com/bus-offers/bhim-app,,,,BHIM UPI,
Flat INR 100 with Mobikwik,Flat INR 100 with Mobikwik,NEWUPI,https://static.abhibus.com/offerbanners/Feb2026/27/1772200563-Mobikwik(1250x324).jpg,https://www.abhibus.com/bus-offers/mobikwik-upi-offer-newupi,,,,Mobikwik UPI,
Get upto 500 off on first booking,Get upto 500 off on first booking,HOLI,https://static.abhibus.com/offerbanners/Feb2026/27/1772178954-1250x324%20Holi%20Creative.png,https://www.abhibus.com/bus-offers/holi-offer,,,,,
Get 10% OFF* on Intrcity SmartBus,Get 10% OFF* on Intrcity SmartBus,,https://static.abhibus.com/offerbanners/Dec2025/05/1764930053-intr-720x360.webp,https://www.abhibus.com/bus-offers/intercity-bus-booking-offers,,,,,YES
Get Rs. 500 Off on your 1st Booking,Get Rs. 500 Off on your 1st Booking,,https://static.abhibus.com/offerbanners/Aug2025/14/1755153534-720x360(1).webp,https://www.abhibus.com/bus-offers/abhifirst-bus-booking-offer,,,,,YES
Get Rs.500 Off on 1st Booking,Get Rs.500 Off on 1st Booking,,https://static.abhibus.com/offerbanners/Nov2024/16/1731757944-Wedding720x360.webp,https://www.abhibus.com/bus-offers/weddings-offer,,,,,YES
Get 5% OFF* on Nuego Bus bookings,Get 5% OFF* on Nuego Bus bookings,,https://static.abhibus.com/offerbanners/Dec2025/29/1767016861-Nuego-720x360.webp,https://www.abhibus.com/bus-offers/Nuego-bus-booking-offers,,,,,YES
Book & Get A Zomato Gold Membership,Book & Get A Zomato Gold Membership,,https://static.abhibus.com/offerbanners/Oct2025/11/1760186844-zomatogold-720x360.webp,https://www.abhibus.com/bus-offers/zomato-gold-membership,,,,,YES
Get 12% off on your booking in Karnataka,Get 12% off on your booking in Karnataka,NAMMA12,"https://static.abhibus.com/offerbanners/Feb2026/18/1771396789-Namman%2012,%20Offer%20Page%201250%20x%20324.png",https://www.abhibus.com/bus-offers/namma12-karnataka,,,,,YES
Get 12% off on your booking in Tamil Nadu,Get 12% off on your booking in Tamil Nadu,TAMILIAN,https://static.abhibus.com/offerbanners/Feb2026/18/1771405138-1250%20x%20324%2012_%20OFF%20tAMILAN%20.png,https://www.abhibus.com/bus-offers/tamilan-tamilnadu,,,,,YES
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,PhonePe SBI Card Select Black,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,BPCL SBI Card Octane,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Paytm SBI Card Select,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,IRCTC Rupay SBI Card,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Air India SBI Signature Card,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,IRCTC SBI Platinum Card,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,IRCTC SBI Card Premier,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Flipkart SBI Credit Card,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Tata Neu Infinity SBI Card,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Ola Money SBI Credit Card,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Cashback SBI Credit Card,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Aditya Birla SBI Card Select,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,PhonePe SBI Card Purple,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Spar SBI Card Prime,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Lifestyle Home Centre SBI Card Prime,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Max SBI Card Prime,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,FabIndia SBI Card Select,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,BPCL SBI Credit Card,,,,
SBI Card Offer,"Use code SBICAB to get flat Rs.  200 off on your bus booking.
Offer valid on a minimum transaction value of Rs. 2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs. 200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.
",SBICAB,https://static.abhibus.com/offerbanners/Jul2025/10/1752154491-SBIcc(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Paytm SBI Credit Card,,,,
