Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
AU Bank Offer,"10% instant off on Bus with selected AU Credit Cards!

",AUCC,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/aucc_bus/,AU Bank Zenith+ Credit Card,,,,
AU Bank Offer,"10% instant off on Bus with selected AU Credit Cards!

",AUCC,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/aucc_bus/,AU Altura Credit Card,,,,
AU Bank Offer,"10% instant off on Bus with selected AU Credit Cards!

",AUCC,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/aucc_bus/,AU Zenith Credit Card,,,,
AU Bank Offer,"10% instant off on Bus with selected AU Credit Cards!

",AUCC,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/aucc_bus/,AU LIT Credit Card,,,,
AU Bank Offer,"10% instant off on Bus with selected AU Credit Cards!

",AUCC,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/aucc_bus/,Ixigo AU Travel Credit Card,,,,
AU Bank Offer,"10% instant off on Bus with selected AU Credit Cards!

",AUCC,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/aucc_bus/,AU Vetta Credit Card,,,,
AU Bank Offer,"10% instant off on Bus with selected AU Credit Cards!

",AUCC,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/aucc_bus/,AU Bank InstaPay Credit Card,,,,
AU Bank Offer,"10% instant off on Bus with selected AU Credit Cards!

",AUCC,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/aucc_bus/,AU Bank Altura Plus Credit Card,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,PhonePe SBI Card Select Black,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,BPCL SBI Card Octane,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,Paytm SBI Card Select,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,IRCTC Rupay SBI Card,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,Air India SBI Signature Card,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,IRCTC SBI Platinum Card,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,IRCTC SBI Card Premier,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,Flipkart SBI Credit Card,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,Tata Neu Infinity SBI Card,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,Ola Money SBI Credit Card,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,Cashback SBI Credit Card,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,Aditya Birla SBI Card Select,,,,
SBI Bank Offer,"Flat 10% off instant discount Using selected SBI Bank Credit Cards

","SBICC
",https://www.cleartrip.com/all-offers/wp-content/uploads/2023/10/ct-logo.jpg,https://www.cleartrip.com/all-offers/bus-sbicc/,PhonePe SBI Card Purple,,,,
