Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Upto INR 3000 off on Orissa RTC Booking,Get 20% off on OSRTC,OSRTC,https://static.abhibus.com/offerbanners/Dec2025/17/1765976652-OSRTC-1250x324.webp,https://www.abhibus.com/bus-offers/osrtc-bus-booking-offers,,,,,YES
Get upto INR 500 off on HRTC,Get upto INR 500 off on HRTC,HRTC,https://static.abhibus.com/offerbanners/Jun2024/04/1717450249-hrtc-bus-booking-offer.webp,https://www.abhibus.com/bus-offers/hrtc-bus-booking-offers,,,,,YES
Get upto INR 500 off on UPSRTC,Get upto INR 500 off on UPSRTC,UPSRTC,https://static.abhibus.com/offerbanners/Jun2024/04/1717451070-upsrtc-bus-booking-offer.webp,https://www.abhibus.com/bus-offers/upsrtc-bus-booking-offers,,,,,YES
Get 20% off on OSRTC,Get 20% off on OSRTC,OSRTC,https://static.abhibus.com/offerbanners/Dec2025/17/1765976652-OSRTC-1250x324.webp,https://www.abhibus.com/bus-offers/osrtc-bus-booking-offers,,,,,YES
Get 10% off on Gujarat RTC Booking,Get 10% off on Gujarat RTC Booking,GSRTC,https://static.abhibus.com/offerbanners/Nov2025/04/1762256474-GSRTC-1250x324.webp,https://www.abhibus.com/bus-offers/gsrtc-bus-booking-offers,,,,,YES
Upto INR 300 off on Telengana RTC Booking,Upto INR 300 off on Telengana RTC Booking,TGSRTC,https://static.abhibus.com/offerbanners/Oct2024/07/1728295510-1250x324.webp,https://www.abhibus.com/bus-offers/tgsrtc-bus-booking-offers,,,,,YES
Upto INR 300 off on Kerala RTC Booking,Upto INR 300 off on Kerala RTC Booking,KSRTC,https://static.abhibus.com/offerbanners/Jul2025/02/1751449775-KSRTC1250x324%20(1).webp,https://www.abhibus.com/bus-offers/ksrtc-bus-booking-offers,,,,,YES
Get flat INR 50 off with BHIM App,Get flat INR 50 off with BHIM App,,https://static.abhibus.com/offerbanners/Oct2025/17/1760705035-BHIM-UPI-1250x326.webp,https://www.abhibus.com/bus-offers/bhim-app,,,,BHIM UPI,
Get 10% OFF* on Intrcity SmartBus,Get 10% OFF* on Intrcity SmartBus,,https://static.abhibus.com/offerbanners/Dec2025/05/1764930053-intr-720x360.webp,https://www.abhibus.com/bus-offers/intercity-bus-booking-offers,,,,,YES
Get Rs. 500 Off on your 1st Booking,Get Rs. 500 Off on your 1st Booking,,https://static.abhibus.com/offerbanners/Aug2025/14/1755153534-720x360(1).webp,https://www.abhibus.com/bus-offers/abhifirst-bus-booking-offer,,,,,YES
Get Rs.500 Off on 1st Booking,Get Rs.500 Off on 1st Booking,,https://static.abhibus.com/offerbanners/Nov2024/16/1731757944-Wedding720x360.webp,https://www.abhibus.com/bus-offers/weddings-offer,,,,,YES
Get 5% OFF* on Nuego Bus bookings,Get 5% OFF* on Nuego Bus bookings,,https://static.abhibus.com/offerbanners/Dec2025/29/1767016861-Nuego-720x360.webp,https://www.abhibus.com/bus-offers/Nuego-bus-booking-offers,,,,,YES
Book & Get A Zomato Gold Membership,Book & Get A Zomato Gold Membership,,https://static.abhibus.com/offerbanners/Oct2025/11/1760186844-zomatogold-720x360.webp,https://www.abhibus.com/bus-offers/zomato-gold-membership,,,,,YES
15% off up to Rs. 250 on booking with Tide Card,Offer is exclusively valid for Tide Card members. Use code ABHITIDE to get up to Rs. 250 off on your bus booking. Offer valid on a minimum transaction value of Rs. 999 (excluding service charges and taxes). Maximum discount per transaction is up to Rs. 250. The coupon code is valid on all days during the promotional period. Offer valid only on private bus operator bookings not on SRTCs. Discount is applicable once per Tide Card per month during the offer period. This offer cannot be combined with any other ongoing promotions or discounts. AbhiBus reserves the right to disqualify any transaction at any time without prior notice or liability.,ABHITIDE,https://static.abhibus.com/offerbanners/Aug2025/20/1755692639-TideOffer(720x360).webp,https://www.abhibus.com/bus-ticket-offers,Tide Card,,,,
Save upto Rs.300 on UTC300 bookings,Apply Coupon code UTC300 at bus booking checkout and save up to Rs.300 on UTC bus services New users will get 10% up to Rs.150 instant discount + 10% up to Rs.150 Promo AbhiBus Cashback Existing customers get 10% up to Rs.150 Promo AbhiBus Cashback This is a special offer valid for bus bookings made on AbhiBus for UTC bus bookings only No minimum transaction value applicable Offer valid only on UTC Bookings not on any other Private or Govt SRTC bus service The Promo AbhiBus Cashback will be credited to the AbhiCash wallet of the user post journey completion This offer cannot be combined with any other offer AbhiBus reserves the right to disqualify any transaction or discontinue the offer promotion at any time without notice or liability of whatsoever nature,UTC300,https://static.abhibus.com/offerbanners/Jul2025/25/1753439530-UTC720x360.webp,https://www.abhibus.com/bus-ticket-offers,,,,,YES
Flat 10% off via ixigo - AU Bank Credit Card,Apply code IXIGOCCBUS and get flat 10% upto Rs.300 off on your bookings This offer is applicable only on payments via ixigo - AU bank Credit Card No minimum transaction value Users should be logged in to AbhiBus to avail the offer Offer valid only for Private Bus bookings and not on Govt SRTC bookings This offer cannot be combined with any other offer ixigo and AbhiBus reserves the right to disqualify any transaction or discontinue the offer promotion at any time without notice or liability of whatsoever nature,IXIGOCCBUS,https://static.abhibus.com/busgallery/offerbanners/Nov2023/24/1700820925-720x360-ixigo-au.png,https://www.abhibus.com/bus-ticket-offers,AU Altura Credit Card,,,,
